193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
193, 193, 193
207, 207, 207
155, 182, 182
70, 17, 18
223, 0, 0
224, 0, 0
211, 1, 3
215, 0, 1
214, 0, 0
214, 0, 0
214, 0, 0
214, 0, 0
190, 196, 202
190, 197, 203
190, 197, 204
190, 197, 202
202, 204, 203
192, 199, 204
190, 197, 204
191, 198, 204
190, 196, 203
190, 196, 202
190, 196, 202
190, 196, 202
187, 196, 202
194, 202, 205
202, 201, 201
190, 190, 190
192, 192, 192
192, 192, 192
192, 192, 192
192, 192, 192
192, 192, 192
192, 192, 192
192, 192, 192
192, 192, 192
191, 191, 191
194, 194, 194
203, 203, 203
192, 192, 192
191, 191, 191
205, 206, 205
158, 181, 183
68, 24, 16
208, 2, 0
231, 4, 1
215, 8, 0
216, 7, 0
216, 7, 0
216, 7, 0
216, 7, 0
216, 7, 0
60, 57, 66
60, 57, 66
63, 58, 66
61, 58, 65
54, 55, 60
64, 57, 64
64, 58, 67
59, 58, 66
60, 57, 66
60, 57, 66
60, 57, 65
58, 57, 65
68, 58, 68
64, 55, 61
53, 55, 53
59, 60, 59
58, 58, 58
58, 58, 58
58, 58, 58
58, 58, 58
58, 58, 58
58, 58, 58
58, 58, 58
58, 58, 58
58, 58, 58
58, 58, 58
54, 54, 54
59, 59, 59
59, 59, 59
64, 64, 64
55, 61, 62
27, 14, 13
58, 4, 8
64, 7, 12
61, 6, 12
58, 7, 12
58, 7, 11
58, 7, 11
58, 7, 11
58, 7, 11
198, 115, 0
198, 114, 0
205, 121, 0
175, 105, 6
48, 19, 8
176, 103, 8
204, 124, 0
197, 114, 0
198, 115, 0
198, 115, 0
198, 115, 0
197, 115, 0
211, 128, 5
136, 62, 0
54, 49, 54
207, 207, 205
191, 193, 194
190, 190, 190
190, 190, 190
190, 190, 190
190, 190, 190
190, 190, 190
190, 190, 190
190, 190, 190
202, 202, 202
164, 164, 164
44, 44, 44
187, 187, 187
206, 206, 206
205, 205, 205
197, 195, 179
13, 16, 54
0, 0, 105
0, 3, 116
0, 1, 121
0, 1, 117
0, 1, 117
0, 1, 116
0, 1, 116
0, 1, 116
255, 171, 0
255, 171, 0
255, 179, 0
245, 155, 10
97, 51, 36
246, 153, 15
255, 181, 0
255, 170, 0
255, 171, 0
255, 171, 0
255, 171, 0
255, 171, 0
255, 187, 0
194, 106, 0
93, 88, 99
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 255
226, 226, 226
83, 83, 83
255, 255, 255
255, 255, 255
255, 255, 255
255, 255, 243
20, 20, 58
0, 0, 131
1, 2, 157
1, 1, 155
1, 0, 150
1, 0, 151
1, 0, 151
1, 0, 151
1, 0, 151
253, 155, 3
253, 155, 2
255, 162, 1
228, 144, 19
81, 49, 36
225, 142, 14
255, 164, 0
253, 155, 2
253, 155, 3
253, 155, 3
253, 155, 2
253, 155, 2
255, 172, 1
180, 96, 0
81, 79, 90
250, 255, 255
241, 243, 242
239, 239, 239
239, 239, 239
239, 239, 239
239, 239, 239
239, 239, 239
239, 239, 239
239, 239, 239
253, 253, 253
207, 207, 207
74, 74, 74
240, 240, 240
255, 255, 255
